lon;lat
122.969601;10.6820461
122.951010;10.659050
122.951010;10.659050
122.9458409;10.6597439
122.9470662;122.9470662
122.9472441;10.6493125
122.970513;10.6839315
122.9458409;10.6597439
122.9458409;10.6597439
122.9181648;10.5964456
122.9471239;10.6618945
122.9458409;10.6597439
122.9458409;10.6597439
122.9458409;10.6597439
122.9181648;10.5964456
122.9696005;10.6809427
122.94957899999997;10.705689
123.03325859999995;10.6660895
122.94745080000007;10.5986421
122.94745080000007;10.5986421
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
122.97475120000001;10.6855122
;
;
122.96972600000004;10.6815761
122.92171229999997;10.5988223
;
;
;
;
;
;
;
;
;
121.01537899999994;14.62393
;
122.94679840000003;10.6412338
122.94616700000006;10.6596407
122.92171229999997;10.5988223
